"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"163",162,19.8,0.535,28.4,1.4,2.5,34,0.658536585365854,80,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129
"164",163,18.2,0.521,25.4,2.5,3.3,26,0.658536585365854,81,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
"165",164,15.7,0.493,17.3,2.8,3.9,22,0.463414634146341,82,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
"166",165,15.6,0.56,16.2,2.2,3,25,0.658536585365854,82,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13
"167",166,21.9,0.539,31.6,3.1,3.4,28,0.646341463414634,77,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
"168",167,19.9,0.619,24.2,2,2.2,31,0.658536585365854,69,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21
"169",168,18.2,0.603,20,1.3,2.2,27,0.231707317073171,70,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138
"170",169,26.9,0.625,24.3,9.3,8.2,29,0.695121951219512,77,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
"171",170,31.1,0.614,32.1,12.6,12,25,0.573170731707317,81,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292
"172",171,24.4,0.592,30.4,6.1,6.5,25,0.621951219512195,80,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
"173",172,22.1,0.607,23.6,4.7,4.9,26,0.634146341463415,80,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181
"174",173,25.2,0.552,28.2,5.4,5.6,26,0.548780487804878,82,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197
"175",174,27,0.653,24.4,9.8,9.2,25,0.560975609756098,79,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
"176",175,22.9,0.624,19.1,4.8,5.5,26,0.621951219512195,82,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
"177",176,20.5,0.597,21.2,3.5,4.5,22,0.670731707317073,81,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
"178",177,19.3,0.547,28.2,1.2,2.4,29,0.670731707317073,81,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146
"179",178,20.6,0.623,21,3.5,3.8,24,0.695121951219512,75,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199
"180",179,18.5,0.594,22.2,2.6,3.3,23,0.695121951219512,78,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164
"181",180,21.6,0.607,20.9,4.2,4.5,35,0.51219512195122,80,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,0.177
"182",181,10.6,0.513,9.2,3,3.7,32,0.621951219512195,82,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,0.108
"183",182,21.2,0.581,23.4,2.1,3,33,0.634146341463415,81,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178
"184",183,21.9,0.581,26.6,3.7,4.4,25,0.524390243902439,82,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165
"185",184,19.9,0.59,19.9,4,3.8,29,0.695121951219512,73,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197
"186",185,19.7,0.518,28.9,1.7,2.6,27,0.597560975609756,80,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131
"187",186,16.8,0.571,21.6,1.1,1.9,25,0.768292682926829,69,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,0.14
"188",187,17.1,0.528,24.6,2.2,3.1,27,0.768292682926829,80,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115
"189",188,26.6,0.622,24.8,9.5,8.5,30,0.768292682926829,79,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
"190",189,27.1,0.661,24,9.8,9.2,26,0.646341463414634,79,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
"191",190,31.2,0.606,33.7,10.6,10.1,26,0.670731707317073,82,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285
"192",191,27.2,0.626,32.6,6.6,6.7,26,0.670731707317073,82,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
"193",192,25.8,0.599,29.4,4.6,5.2,27,0.548780487804878,82,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205
"194",193,26.3,0.597,26.6,6.5,6.4,24,0.682926829268293,82,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241
"195",194,24.1,0.541,28.1,5.9,6.3,27,0.5,82,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
"196",195,20.9,0.579,28.8,1.8,2.9,30,0.658536585365854,81,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
"197",196,23.9,0.607,20.6,4.2,4.5,27,0.670731707317073,78,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
"198",197,21.9,0.546,27.4,6.1,6.1,33,0.634146341463415,75,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154
"199",198,14.3,0.597,15.5,1.8,2.7,29,0.719512195121951,82,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,0.149
"200",199,22.2,0.551,25.5,7.9,6.6,27,0.719512195121951,73,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208
"201",200,17.2,0.555,22.5,1.5,2.3,26,0.719512195121951,75,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162
"202",201,17.3,0.501,26,2.5,3.4,28,0.719512195121951,81,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107
"203",202,31.6,0.605,32.9,10.8,9.8,27,0.74390243902439,82,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
"204",203,25.1,0.623,22.9,8.3,7.6,31,0.707317073170732,79,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251
"205",204,27.4,0.615,26.6,8.4,8.1,25,0.670731707317073,82,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264
"206",205,28.9,0.635,29.1,9.9,7.4,27,0.536585365853659,67,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258
"207",206,24.8,0.596,30.1,5.8,6.5,27,0.658536585365854,82,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225
"208",207,22.1,0.563,25.7,7.3,6.7,28,0.768292682926829,82,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209
"209",208,23.7,0.604,24.8,5.2,5.1,24,0.670731707317073,77,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22
"210",209,23.5,0.555,28.1,4.7,5.2,31,0.524390243902439,81,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177
"211",210,19.7,0.53,23.7,4.7,3.8,34,0.682926829268293,60,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14
"212",211,21.7,0.632,19.6,6.1,5.5,27,0.768292682926829,81,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235
"213",212,23.7,0.561,31.1,3.9,4.6,28,0.475609756097561,81,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155
"214",213,23.4,0.604,20.9,4.4,5,28,0.658536585365854,82,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217
"215",214,17.4,0.507,25.2,1.8,1.6,29,0.609756097560976,48,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098
"216",215,20.6,0.637,19,1.7,2.3,37,0.682926829268293,81,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198
"217",216,18,0.552,24,1.8,2.9,27,0.609756097560976,80,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155
"218",217,19.1,0.527,34.4,0.1,1.3,34,0.365853658536585,64,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07
"219",218,18.3,0.599,21.2,0.7,1.9,25,0.634146341463415,78,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161
"220",219,24.3,0.549,25,6.3,4.3,28,0.634146341463415,56,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201
"221",220,20.9,0.547,24.7,4,4.9,24,0.536585365853659,82,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148
"222",221,21.2,0.606,23.9,2.5,2.3,33,0.682926829268293,68,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182
"223",222,27.7,0.579,31.7,8.6,8.3,28,0.817073170731707,80,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
"224",223,23.6,0.56,28.7,8.4,7.2,29,0.695121951219512,76,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
"225",224,27.5,0.597,24.7,10,7.8,26,0.573170731707317,68,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
"226",225,25.4,0.599,30.3,5.3,5.6,28,0.670731707317073,81,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237
"227",226,22.8,0.563,27.2,4,4.8,29,0.621951219512195,82,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198
"228",227,19.9,0.586,23.6,3.5,4.6,28,0.670731707317073,81,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
"229",228,22.7,0.61,24.1,3.8,3.1,27,0.695121951219512,72,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
"230",229,19.1,0.537,24.4,2.6,3.9,25,0.670731707317073,81,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132
"231",230,21.5,0.555,24.6,6.5,6.8,26,0.817073170731707,82,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192
"232",231,17,0.574,11.1,4.9,5.8,30,0.585365853658537,82,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
"233",232,23,0.629,23.6,5,4.7,26,0.695121951219512,73,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213
"234",233,24.5,0.612,25.1,7.4,6.9,28,0.426829268292683,75,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
"235",234,22.8,0.59,19.9,5.1,5.3,29,0.670731707317073,82,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215
"236",235,21,0.547,24.7,5.5,3.1,35,0.621951219512195,45,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
"237",236,19.9,0.561,23.6,2.2,3.1,25,0.646341463414634,78,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165
"238",237,19.7,0.577,23.1,5.5,5.5,25,0.548780487804878,82,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162
"239",238,19.5,0.617,21.1,3.7,3.7,29,0.48780487804878,80,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
"240",239,25.9,0.596,26.9,8.3,7.5,29,0.75609756097561,76,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
"241",240,27.3,0.577,28.8,8.4,8.5,30,0.670731707317073,82,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234
"242",241,29.7,0.564,34.7,9.5,8.9,29,0.695121951219512,78,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
"243",242,20.8,0.546,29.7,2.2,3.2,30,0.731707317073171,81,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17
"244",243,24.3,0.57,31.9,3.6,3.7,33,0.524390243902439,71,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191
"245",244,24.2,0.569,26.4,6.7,7,27,0.597560975609756,82,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
"246",245,22.9,0.584,27,3.7,4.4,20,0.5,81,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163
"247",246,26.2,0.612,28.4,7.6,7.6,29,0.573170731707317,82,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238
"248",247,22.1,0.609,24.5,3.2,3.1,28,0.658536585365854,75,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197
"249",248,22,0.635,21.1,5.2,4.9,27,0.658536585365854,71,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
"250",249,20.7,0.517,26.1,6.1,3.4,30,0.621951219512195,49,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171
"251",250,17.6,0.555,24.5,1.4,2.6,29,0.48780487804878,77,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141
"252",251,20.4,0.547,24.2,3.2,3.4,23,0.670731707317073,78,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169
"253",252,21.3,0.584,19.9,3.3,3.8,30,0.573170731707317,82,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177
"254",253,25.3,0.565,29.8,7,7.4,31,0.707317073170732,80,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
"255",254,30.7,0.577,32,10.9,10.6,28,0.670731707317073,80,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296
"256",255,23.2,0.544,27.1,8.3,7.2,28,0.670731707317073,72,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
"257",256,28.5,0.605,29,6.6,7.1,21,0.609756097560976,81,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252
"258",257,22.9,0.551,29.8,4.5,4.9,31,0.695121951219512,79,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
"259",258,17.8,0.526,21.6,2.8,3.5,25,0.768292682926829,82,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155
"260",259,22.9,0.593,24.2,6.5,5.6,24,0.768292682926829,79,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
"261",260,22.9,0.55,28,6.3,6.9,30,0.646341463414634,82,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193
"262",261,22.7,0.586,24.6,4.6,3.9,29,0.573170731707317,76,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201
"263",262,22.8,0.563,26.5,5.7,4.5,30,0.682926829268293,65,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
"264",263,19.6,0.487,19.8,5.3,5.4,26,0.695121951219512,81,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168
"265",264,20.6,0.566,24.3,0.9,1.8,27,0.682926829268293,67,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17
"266",265,13.4,0.549,7.1,3.5,4.2,32,0.670731707317073,79,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14
"267",266,15.9,0.532,21.5,2,3.6,23,0.609756097560976,82,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,0.108
"268",267,22.5,0.608,19.1,4.4,4.8,31,0.646341463414634,82,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214
"269",268,21.4,0.529,32,0.9,1.9,34,0.5,74,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153
"270",269,19.4,0.538,24.1,1.1,2.2,31,0.695121951219512,80,19.1,12,1.9,1,0.5,0.499,0.375,0.713,10.2,0.17
"271",270,29.1,0.602,29.9,8.4,8.1,29,0.75609756097561,81,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
"272",271,28.6,0.588,31.9,5.4,5.4,22,0.695121951219512,79,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23
"273",272,25.1,0.59,30.3,5.8,6.1,31,0.731707317073171,82,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212
"274",273,21.9,0.555,30.7,2.2,3.1,32,0.670731707317073,79,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157
"275",274,26,0.563,31.7,5.3,5.3,32,0.573170731707317,72,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
"276",275,25.2,0.572,27.5,6.4,5.1,31,0.719512195121951,68,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
"277",276,22.6,0.559,26.3,7.8,7.4,29,0.573170731707317,79,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
"278",277,23.3,0.651,18.9,5.5,5.4,32,0.731707317073171,82,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
"279",278,21.3,0.564,24.4,4.5,5,26,0.695121951219512,82,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
"280",279,20.8,0.599,23.7,4.2,4.5,23,0.695121951219512,77,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
"281",280,22.1,0.493,33.2,2.7,0.8,31,0.573170731707317,17,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
"282",281,16.6,0.604,10.9,3.8,2.3,33,0.75609756097561,49,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,0.178
"283",282,15.1,0.471,19,1.7,2.5,21,0.439024390243902,79,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
"284",283,22.4,0.577,25.7,6.5,5.9,32,0.5,76,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
"285",284,19.9,0.57,26.5,0,1,25,0.585365853658537,58,21.7,8,1.8,1,0.3,0.509,0.397,0.716,5.2,0.123
"286",285,29.4,0.582,33.3,8.6,8.3,32,0.878048780487805,82,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
"287",286,29.4,0.589,28.8,9.2,8.5,30,0.719512195121951,82,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29
"288",287,24.6,0.605,25.5,6.4,6.4,24,0.731707317073171,82,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229
"289",288,25.5,0.558,31.9,4.6,4.7,33,0.585365853658537,72,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
"290",289,21,0.551,24.4,6.8,6.3,30,0.878048780487805,77,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
"291",290,19.6,0.554,23.6,4.7,5.3,27,0.780487804878049,81,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
"292",291,26,0.575,29.8,7.3,7.4,32,0.670731707317073,82,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
"293",292,22.6,0.631,26.2,3.8,3.9,26,0.780487804878049,79,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
"294",293,20.9,0.537,25.9,5.1,5.8,23,0.560975609756098,80,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
"295",294,26.4,0.57,32.8,3.5,2.7,23,0.731707317073171,54,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
"296",295,21.9,0.642,18.7,3.7,4.2,33,0.670731707317073,82,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,0.214
"297",296,24.8,0.585,27.5,5.9,5.2,32,0.5,71,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
"298",297,21.1,0.612,22.7,3.2,1.3,36,0.646341463414634,32,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181
"299",298,22.7,0.584,28.1,4.4,4.3,25,0.51219512195122,70,23.2,10.4,2.3,1,2.7,0.523,0.3,0.685,9.9,0.178
"300",299,13.6,0.501,10.3,3.2,2.8,34,0.878048780487805,64,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
"301",300,25.2,0.573,27.6,6,5.2,25,0.573170731707317,75,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
"302",301,19.2,0.591,26.9,2.9,3.6,30,0.475609756097561,81,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
"303",302,28.9,0.6,32.7,8.5,7.9,33,0.780487804878049,82,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268
"304",303,27.8,0.567,33.2,6.7,6.8,33,0.841463414634146,82,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283
"305",304,25.5,0.556,28.3,8,7.9,24,0.658536585365854,80,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223
"306",305,20.8,0.532,26.6,5.1,5.6,30,0.74390243902439,81,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198
"307",306,19.7,0.605,26.9,1.2,2.7,29,0.658536585365854,79,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,0.154
"308",307,21.8,0.545,26.4,5.6,6.2,28,0.695121951219512,82,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193
"309",308,22.7,0.558,30.4,3.2,3.7,34,0.695121951219512,78,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,0.154
"310",309,21.3,0.548,29.8,1.7,2.7,34,0.695121951219512,78,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,0.163
"311",310,18.9,0.585,17.6,4.5,5.2,30,0.658536585365854,73,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,0.173
"312",311,27.1,0.556,31.1,6.3,4,24,0.682926829268293,51,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,0.197
"313",312,21.3,0.554,24.6,6.6,6.7,31,0.841463414634146,82,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203
"314",313,21.6,0.578,27.5,2.7,2.7,26,0.74390243902439,66,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174
"315",314,19,0.584,17.4,3.2,3.9,30,0.682926829268293,80,13.3,11.6,1.4,0.6,3.3,0.527,0,0.705,11.3,0.183
"316",315,21.6,0.578,29.4,3.3,4.2,31,0.414634146341463,81,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166
"317",316,22.1,0.656,18.4,3.9,4.3,34,0.780487804878049,82,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,0.226
"318",317,23,0.581,23.2,7.1,4.6,33,0.695121951219512,53,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224
"319",318,19,0.526,27.5,2,3.2,27,0.48780487804878,81,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103
"320",319,18,0.513,28.9,1.5,2.7,21,0.268292682926829,76,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
"321",320,22.9,0.631,22.6,4.2,4.2,30,0.48780487804878,70,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211
"322",321,17.4,0.548,25,1.3,2.3,27,0.682926829268293,72,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154
"323",322,25.2,0.533,33.7,4.6,5.3,34,0.75609756097561,82,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
